clock,kW,total_kW,kW_npg,total_kW_npg,node,rack
60,0.072072,0.072072,0.004004,0.004004,400,20
120,0.072072,0.144144,0.004004,0.008008,400,20
180,0.072072,0.216216,0.004004,0.012012,400,20
240,0.072072,0.288288,0.004004,0.016016,400,20
300,0.072072,0.360360,0.004004,0.020020,400,20
360,0.072072,0.432432,0.004004,0.024024,400,20
420,0.072072,0.504505,0.004004,0.028028,400,20
480,0.072072,0.576577,0.004004,0.032032,400,20
540,0.072072,0.648649,0.004004,0.036036,400,20
600,0.072072,0.720721,0.004004,0.040040,400,20
660,0.072072,0.792793,0.004004,0.044044,400,20
720,0.072072,0.864865,0.004004,0.048048,400,20
780,0.072072,0.936937,0.004004,0.052052,400,20
840,0.072072,1.009009,0.004004,0.056056,400,20
900,0.072072,1.081081,0.004004,0.060060,400,20
960,0.072072,1.153153,0.004004,0.064064,400,20
1020,0.072072,1.225225,0.004004,0.068068,400,20
1080,0.072072,1.297297,0.004004,0.072072,400,20
1140,0.072072,1.369369,0.004004,0.076076,400,20
1200,0.072072,1.441441,0.004004,0.080080,400,20
1260,0.072072,1.513514,0.004004,0.084084,400,20
1320,0.072072,1.585586,0.004004,0.088088,400,20
1380,0.072072,1.657658,0.004004,0.092092,400,20
1440,0.072072,1.729730,0.004004,0.096096,400,20
1500,0.072072,1.801802,0.004004,0.100100,400,20
1560,0.072072,1.873874,0.004004,0.104104,400,20
1620,0.072072,1.945946,0.004004,0.108108,400,20
1680,0.072072,2.018018,0.004004,0.112112,400,20
1740,0.072072,2.090090,0.004004,0.116116,400,20
1800,0.153610,2.243700,0.085542,0.201658,400,56
1860,0.153692,2.397393,0.085624,0.287282,400,56
1920,0.190826,2.588218,0.122758,0.410040,1118,56
1980,0.190826,2.779044,0.122758,0.532798,1118,56
2040,0.189884,2.968929,0.121816,0.654614,1118,56
2100,0.190826,3.159754,0.122758,0.777372,1118,56
2160,0.190826,3.350580,0.122758,0.900130,1118,56
2220,0.195425,3.546006,0.127357,1.027487,1118,58
2280,0.195410,3.741416,0.127357,1.154845,1118,58
2340,0.197551,3.938967,0.129483,1.284328,1160,58
2400,0.197551,4.136518,0.129499,1.413826,1160,58
2460,0.197582,4.334100,0.129514,1.543341,1160,58
2520,0.197582,4.531683,0.129514,1.672855,1160,58
2580,0.197536,4.729219,0.129514,1.802369,1160,58
2640,0.197582,4.926801,0.129514,1.931883,1160,58
2700,0.197551,5.124352,0.129499,2.061382,1160,58
2760,0.197582,5.321934,0.129530,2.190911,1160,58
2820,0.197582,5.519516,0.129530,2.320441,1160,58
2880,0.197567,5.717083,0.129530,2.449970,1160,58
2940,0.197567,5.914650,0.129514,2.579484,1160,58
3000,0.197536,6.112186,0.129499,2.708983,1160,58
3060,0.197567,6.309752,0.129514,2.838497,1160,58
3120,0.197582,6.507335,0.129514,2.968011,1160,58
3180,0.197551,6.704886,0.129499,3.097510,1160,58
3240,0.197582,6.902468,0.129530,3.227039,1160,58
3300,0.197598,7.100066,0.129530,3.356569,1160,58
3360,0.197453,7.297519,0.129416,3.485985,1159,58
3420,0.197500,7.495018,0.129447,3.615432,1159,58
3480,0.197500,7.692518,0.129432,3.744863,1159,58
3540,0.197500,7.890018,0.129432,3.874295,1159,58
